premise,hypothesis,label
A group of people sitting on the floor of a carpeted room.,The people have gathered indoors.,0
A group of motorcyclist are ridding through the streets.,The streets were crowded with motorcyclists.,1
Three construction workers are working at night.,The construction workers are working overtime.,1
Children with balloon hats sit on the grass.,Children are watching the clowns entertain them.,1
A man in a black shirt swims next to a girl on a pink surfboard.,A man gets eaten by a shark.,2
A strange piece of art with lights.,Artwork with lights.,0
Two men wearing swimming trunks jump in the air while on the beach.,two men are on vacation with their family,1
An Asian women competing in the winter Olympics.,A woman is losing in a competition.,1
A man leads the way on his bike while two others follow in the distance.,The bikers are exploring,1
"Two men wearing white, one with a red belt one with a blue belt fight on a blue and red mat with another man refereeing.","Two men in white bathrobes, one with a red belt and one with a blue belt, are relaxing in a sauna.",2
"A man in a white cap, standing in a field with a bat, about to swing at a ball.",a man is passes out on the field,2
The gentleman is quite well groomed.,The man is good looking.,0
Two young boys stand on either side of a man that is sitting in a chair.,There are boys and a man together.,0
Beautiful snowy landscape with people treading through the snow.,A ocean wave knocks a surfer off of his board.,2
"A group of men sit at a table, drinking beer.",There is a group of friends sitting.,1
A large group of people participate in a marathon along a city street.,A crowd runs along a city street,0
A man wearing a cone shaped thatch hat is balancing two heavy items attached to the ends of a pole that is resting on his shoulder.,A man wearing a hat is lifting heavy weights.,0
"Two males are playing field hockey, one with a blue stick, one with a gold stick.",The guys are taking a cooking class at the local tech,2
Synchronized swimmer water-dancing in a pool during a performance.,The swimmer is swimming through lava.,2
A little boy is playing with some trains.,A boy plays with Legos and Incredible Hulk figurines.,2
A child in an orange shirt dragging what appears to be a toy sailboat hanging by a string with other children watching him.,Children are watching another child.,0
A man and woman are looking at something inside a market filled with many foods.,A man and woman are grocery shopping.,0
Synchronized swimmers perform.,People are swimming.,0
A woman with black hair and a weird outfit on.,The woman is going to a costume party.,1
A man films college students at a nighttime outdoor rally.,There is a man filming students for a video.,1
A young man holding a green balloon shaped like a star in front of a large stone building.,A young man is waiting for someone to pick him up.,1
Two infants are at play in the yard.,There are two babies in the yard.,0
Two men sitting in a hot tub.,Men are in a tub.,0
Two children play doctor with their baby sibling.,The children are playing together.,0
A hurdler is in mid-stride while preparing to leap the hurdle on the track.,A man leaps over a hurdle.,0
A young boy in a green shirt is looking down and slightly smiling.,The boy is happy.,1
Two young women perform with hula hoops on the street.,The women are performing with yoyos.,2
A girl in a pink tank top is sliding on a ledge on a skateboard.,A girl is skateboarding with her friends.,1
A child standing on a white stool brushing her teeth.,The child brushes her teeth on a white stool.,0
"Two race horses, one brown and the other gray, racing against each other.",Two horses are in a field.,1
A group of musicians play outside in front of a large crowd.,Four banjo players play in an empty cafe.,2
The children are running through the grass playing soccer.,Children are playing in the soccer championship game.,1
Two uniformed men on rollerblades talk to a hooded man in an alley.,Two uniformed women on rollerblades talk to a hooded man in an alley.,2
A dog carrying a white ball.,The dog is black.,1
"An male entertainer is wearing women's clothing that consists of a pink tank top, skirt, knee high socks, and a hairnet, performing on a unicycle a juggling knives while a crowd watches.",A man is reading a book at the kitchen table.,2
Little boy shoveling snow in the driveway.,There is a child outdoors.,0
Four guys are posed on a stone platform.,Four women are on a platform.,2
Three people in a race running outside in the sunshine with participant numbers on their belly's.,Three people in a race running outside,0
A woman wears a red dress and a black mask while people dance behind her.,Several people dance behind a masked woman.,0
A man checks his phone while sitting on a stone bench.,A man sits on a stone bench.,0
A group of colorful kayaks paddling through the water,Kayaks are sailing,2
A man in a black jacket with a mohawk walks on a road.,A man with a mohawk is on the road,0
"A guy dressed in jeans, a white t-shirt and brown hat is jumping over another guy who is riding a skateboard along a sidewalk in a shopping district.",The skatboard is black.,1
A team of girl's soccer players in red uniforms run for the ball.,The girl's soccer team is winning.,1
A man holding a bottle wearing tan pants talking to security officers in front of a large poster.,A man is driving a bus in the city.,2
Three kids on a scooter with three wheels.,Three kids climb on a jungle gym and one hangs upside down.,2
Musicians together in an orchestra.,The musicians are playing together.,0
People are walking in the rain with umbrellas and raincoats around the fountain.,People are happily walking in the rain.,1
A young boy wearing a red scarf around his head with the word free written in red on one cheek.,A child wearing face paint.,0
Two people walk along the side of a snowy mountain.,People are strolling on a mountain.,1
Wrinkled man wearing a black leather jacket and beret jotting notes on a piece of paper while sitting outdoors on a bench.,An old man is taking notes waiting for his friend to arrive.,1
Man on a cellphone inside of a well-designed building.,"The man is a high-powered attorney, contacting a client during his smoke break.",1
A toddler girl in a swing is laughing.,A girl is crying on her bed inside.,2
A gentleman listening to earphones.,A boy is listening to music.,1
"Several people sit on a crowded subway, while two woman stand in the middle holding the poles.",Some commuters take the train to work.,1
A dog is jumping as he turns around on a beach.,the dog is asleep,2
The boy is climbing.,a boy is sitting watching television,2
A man is bent over trying to pick up the pear.,The man is standing upright.,2
People walk under a wooden structure.,People are walking.,0
3 women sitting and laying down on sand by some water.,Three women jogging.,2
People sit in a boat watching the water.,People are sitting in a boat.,0
a little boy covered in a pile of leafs,A dog covered in a pile of leaves,2
Four girls sitting around a black plastic bag full of fabric.,The girls are together.,0
A little girl in a pink skirt is climbing a tree with other children.,The children had to be home in a few hours.,1
A man in green and black gets muddy on a dirt bike.,A man rides his dirt bike through a course.,1
A boy petting his cat on a paved road covered with leaves on a beautiful fall day.,The boy is touching his pet.,0
Two cops in cowboys hats riding on a golf cart.,Two cops are standing on the sidewalk.,2
"A busy plaza with three young women with an umbrella and buckets full of possessions, possibly homeless.",Some people are using an umbrella.,0
A woman is happy to be petting her german shepard.,The woman is petting a cat.,2
A man and his dog are grilling green beans on a grill.,A man grilling green beans with his dog.,0
Child in red and blue shirt painting a log.,The child is wearing a green shirt.,2
An artist sits with several paintings on a sidewalk in front of an abandoned store.,The artist is inside at his art show.,2
A young couple enjoys a snowball fight.,the couple is having fun,0
A man walks down a brick sidewalk pushing a box.,A man is pushing a box full of candy on the sidewalk.,1
Some sort of military force in an Asian country taking aim at something.,The men are all sleeping in tents.,2
A brown and white dog is running through an uncut field that has mushrooms.,Two dogs are running threw a field of mushrooms.,0
A young man wearing a knit cap with the word PARIS on it and a blue jacket on the street.,The young man is from Paris.,1
A man and a woman standing on a city street talking to each other.,They are outdoors,0
People getting food at a walk up restaurant window.,People at a concert are going to a walk up restaurant to get food.,1
Three men in tribal masks are sitting down with one another.,the men are running through fire,2
"Two young women look into two microscopes, one of them with a disbelieving look on her face.",The women are using telescopes.,0
A girl wears a fancy dress and a tiara.,A child prepares for her princess party,1
A crowded outdoor food market.,An outdoor food market is crowded for their fundraiser.,1
A Toronto Blue Jays player is sliding head first into home plate as the catcher in a yellow shirt tags him out.,A baseball player blows the game for his team.,1
Many men in the army are cooking various meats above coals in a sandy setting.,Men are mixing drinks.,2
Two people are looking at a fancy motorcycle while a woman inside a restaurant is looking at them.,Sue was with Bill and Ted.,1
In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.,The lead singer is wearing yellow.,0
a man on the sea.,A man who likes boating on the open water.,1
A girls wearing jeans and a pink shirt runs.,A stylishly dressed elderly woman hobbles quickly along.,2
A single light shines on a man with a baseball cap as he stands in a room with a ladder and graffiti on the wall.,A man with a baseball cap stands in a room.,0
Two people with wooden staffs in a martial arts expo,There are two people holding staffs.,0
Two men push their children in strollers during a race.,The men are competing in a race for charity.,1
A woman stands over a child who is drawing a picture of a rainbow with brightly colored makers on a piece of paper at a table.,woman and child outside at park,2
"Group of people, mature and young sitting beside the dirt road looking across the road.",The people were watching emergency crews across the road.,1
A kid in a bicycle helmet is standing by horse.,A rider is near the horse.,0
A young lady is leading her friend to a surprise by covering their eyes.,A girl is about to start her suprise party.,1
A party with many people eating and talking around a big table.,People eating and talking around a table.,0
A man in a blue shirt ties a knot in a blue rope.,A man is climbing a blue rope.,2
"Three people on grass, one raking leaves, one mowing the lawn, another standing by a garbage bag.",A person is mowing the lawn.,0
Two people are reading on a bench.,two people sit on a bench,0
An elderly lady with a cane and handbag walks along the sidewalk.,A lady is walking.,0
Three girls sit with their feet splashing in the water.,Three girls are splashing in the water using their feet.,0
A man in black stands side by side with a white dog.,A human being stands upright with a colorless canine.,0
Two small girls with their heads facing a brick wall.,Two boys drawing on a brick wall.,2
A woman with sunglasses is having lunch with a friend.,woman out on a date,1
A girl in a blue shirt and yellow shorts is jumping in the air and yelling into a microphone on a stage.,A girl is performing a song on a stage.,1
two girls in white dresses standing by large horses.,Two girls getting ready to ride horses.,1
a man walking down an alleyway,A girl is doing jumping jacks.,2
A man in an orange jumpsuit with the legs rolled up is standing in the road with some people and outdoor awnings in the background.,A woman in an orange jumpsuit has the legs rolled up.,2
A woman and several men wear face masks on a subway.,The woman and men's faces cannot be seen.,0
"A man wearing a plaid shirt, gray vest, and brown tie takes orange punch from a silver punch bowel.",A man takes punch from the bowl that is spiked with liquor.,1
Skateboarder in jeans and t-shirt performing jump.,A bmx biker on a jump.,2
A woman in green uniform skates down the road at the fair.,The lady in green is skating down the street.,0
A street vendor in Asia tries to bring in more customers.,A man closing his shop for the day.,2
Man in a blue jumpsuit attempts to repair an escalator.,A repairman in a blue uniform does maintenance on an escalator.,0
A group of instrumentalists and vocalists dressed in black are being conducted by an older gentleman.,a group of instrumentalists in black,0
A man in a red coat stands outside of a store near a big column.,A man is waiting for his wife outside the store.,1
An elderly person stands in the street during winter with evergreen tree branches in one hand and a cane in the other.,a young person stands in the street in the summer holding evergreen branches and an umbrella,2
Two girls lean backwards on tire swings and look upside-down at the camera.,The childs are on the tire wrong and the camera is up-side down.,1
A motorcyclist wearing full protective gear on a green bike is about to descend a dirt mound.,The motorcyclist is doing tricks.,1
Two white-skinned and one dark-skinned man are sitting side by side in jeans and black shirts.,The men are standing far a part.,2
"two females, one in a pink top the other in white, walking down a street",Two females walking outside.,0
"This red color bike is very nice, I would like to have one.",The red colored bike is nice.,0
A child drinks through a straw at his daycare.,The child is drinking orange juice.,1
Two girls in white shirts and blue jean shorts walking through a group of people with umbrellas in the background.,Two girls are riding bikes.,2
A man in white clothing holds a yellow and white flag behind him as it floats in the air amidst a crowd of other people in front of a large tan-bricked building.,A man in white clothing holds a yellow and white flag behind him as it floats in the air amidst a crowd of other people in front of a large tan-bricked building during the night lit by the street lights.,1
A man in a yellow tank top drives a tractor with several passengers.,The man is wearing a top.,0
A person standing on a stage in front of a seated crowd,Someone is sitting on the stage.,2
Somebody wearing a crash helmet performing a wheelie on a black and white motorbike.,They did not wear a helmet while performing the trick.,2
Ladies being taken through an exercise routine by the military,A drill sargent is demonstrating an exercise routine.,0
A man in orange squats to inspect a machine part.,the boys were angry,2
"A small boy dressed in a black sweatshirt with a logo on it, holds a red bat in front of blue stadium seats.",A small boy is inside a stadium.,0
Many scooters are parked together on the sidewalk.,The scooters are all parked in one area.,1
A girl in a white shirt and blue shorts is jumping up at the net.,A girl in white is playing a sport.,1
Several children are practicing martial arts moves in a room with a red floor.,Kids are being taught a new move at martial arts practice.,1
A boy in a striped sweatshirts is sitting on the floor opening a Christmas present.,The boy is opening an Easter gift.,2
The photographer is holding up a disc that has an image on it that looks similar to the gentleman he is taking a picture of.,A young man gets his senior picture taken.,1
A woman's hands are shown applying black-colored nail polish over an existing layer of gray-colored polish.,A woman is fixing up her nail polish.,0
closeup of a brown dog in the water holding a very large stick.,The dog is white.,2
A man wearing shorts and a T-shirt sits on the blue chair at the laundry mat.,The man is at the pizza joint.,2
"A man sitting on the ground is playfully kicked by a young woman, while a man in the back observes.",A women and a man are playing around as an onlooker looks.,0
A little boy batting with a red helmet on.,a little school boy from California is batting,1
A girl wearing white is stretching in a somewhat contorted position atop a blue floor while her shadow stretches out below her.,A shadow is cast by a large man wearing a leotard.,2
A young girl's face looking through leaves.,There is a girl outside.,0
"The hockey players, in blue, are waiting for their best chance to get the puck from the opposing hockey team.",There is at least on puck.,0
A man in an orange working vest walking down a street carrying a young boy on his shoulders during the day.,A man in orange walks down the street carrying someone else.,0
"A woman wearing a blue skirt, high heels, a white shirt, green jacket and headband is walking out of a tunnel.",The woman is dirty.,1
A tiger striped pitbull jumps over a black and brown dog.,A dog jumps over other dogs.,0
A man working on a job site.,A woman knitting a blanket.,2
Ralley cars muscle for position on a dirt track.,Ralley cars try to get to the pitstop first,1
A man in jeans and gray t-shirt stands hidden in a doorway.,A man stands in a doorway.,0
Two women and a young man digging up dirt and putting it in a wheelbarrow.,A group of people are friends.,1
"A group of men are dressed in old military costumes, carrying instruments as if in a parade.",A group of men are wearing Civil War uniforms.,1
A man in a green shirt and white hat is working on a fan while a display of fans are on the ground in front of him.,A man in a green shirt and white hat repairing a fan next to a display of fans around him in his store.,0
Snowboarder is standing on his board while the crowd watches him.,Man is snowboarding for entertainment.,1
A small boy grins in a crowd full of people posing with their eyes closed in a sleeping position.,There is a small boy alone in the room.,2
Two dogs and a ball.,Dogs playing fetch.,1
People dancing inside a room where there is a small concert happening.,People are dancing in a room,0
A fitness trainer is working with a man on an athletic machine.,The fitness trainer and the man are going for a run outdoors.,2
A man dressed as a cook enjoys a meal and bottle of wine in an empty restaurant.,A chef is taking a break while enjoying a beverage and some food since there are no customers in his establishment.,0
A man grips the underhang of a rock.,The man is holding a tuba.,2
Two people are engaged in a fencing match.,Two people are fencing.,0
Two men speaking while looking over the railings over a river.,There are people swimming.,2
Three guys in white playing racquetball in the park.,Three racquetball champs are wearing white while they play racquetball in the park.,1
A large man sitting on a bus wearing a purple and gray kimono.,The man on the bus is a zombie.,2
Two opposing hockey players collide.,hockey players collide during a championship game,1
Two speed boats racing across the water while creating a large spray of water behind them.,Two friends are eating ice cream at the park.,2
A person on a bike laying on a small dirt road with several other people in the background.,two cyclists look for shoes in a store,2
A young man sitting on stone steps talking to a young woman wearing a scarf.,A young man is flirting and trying to get a girl's number.,1
A group of people playing a board game in a dining room or kitchen.,A group of people are eating dinner at the table.,2
A person wearing white socks and black shoes is in front of a microphone.,The man attempts to rally the audience.,1
Two men chase cattle on horses.,Two cowboys chase cows in their truck.,2
Three people are sitting on a couch and one is playing with some balls.,An orgy in session on a couch.,1
An Asian store with people walking throughout and a big red arrow pointing left.,A large sign points to a sale item while people mill about shopping.,1
A girl in cargo pants and a green shirt jumps in front of a square stone.,The girl has no legs.,2
An older man is cutting the hair of a customer in his barber shop with floral walls.,An old man cuts hair in his barber shop.,0
Two military men and two young girls are playing monopoly.,The troops blow up a bridge.,2
Hipster asian woman taking a photo through the gas.,The asian woman is taking a photo with her phone.,1
Three people are cleaning up a beach.,The three people are sunbathing.,2
The back side of a woman standing on a city sidewalk.,The woman's cheerful face is seen while she stands on the sidewalk and gazes at the rainbow.,2
A group of people gather in the parking lot of a water park.,The people are going to the water park.,1
"A woman in black shoes with pink laces, jeans, and a gray jacket talks with a man wearing black jeans and a shirt and holding a white bag over his shoulder.",The woman in the sneakers is waiting in line to pay for her lunch.,1
"Several members of a wedding party, including the bride, are walking past a lamp and some park benches.",A group of people are walking past a lamp and some park benches.,0
A busy city with cars and people with a giant skyscraper.,The city is busy.,0
"A man is bent over by an old stone wall, looking into his backpack.",A man is wearing a jacket.,1
A dark-haired bearded man in a white dress shirt and black sweater and a woman in a black and white dress in a small space.,The man and woman are in a large office building.,2
A man in an office boardroom is cutting slices of cake for everyone.,A man in an office boardroom sits holding a laptop computer.,2
An artist in a gray t-shirt works on a modern piece.,A person paints.,1
Two very large white guys with a African American man cooking sausages at a barbecue.,only white people are at this barbeque,2
A young man doing bicycle tricks in an urban area.,A man is doing a back flip on a bike.,1
Two young men in blue jeans and sneakers cross an urban street.,Two men are watching sports on television.,2
A food market with lots of people inside.,A food market.,0
A man in a yellow vest and jeans is caulking a sidewalk.,Man working out in gym,2
A backpacker enjoying a view of nature.,A hiker is resting.,1
A woman throwing a Frisbee on a beach.,The woman is playing frisbee.,0
a woman wearing a black shirt and blue jeans standing on a sidewalk,A woman stands on a sidewalk.,0
Two officers in uniform chatting in a golf cart.,The officers are playing golf.,0
A mountain biker travels along a dirt trail inside a heavily wooded area.,The person is having a cream tea in a charming shop in Bath.,2
Two men walking uphill into the sun.,The men are on a hike up the hill.,1
A man and a woman standing on a street corner.,two people on a street corner waiting for a bus,1
A woman in a trench coat hailing a taxi for a ride.,the woman is dancing in the street,2
"Little girl swinging on swing, accompanied by a man.",A little girl is playing basketball.,2
children in the school wearing uniform,The children in the school wearing uniforms are teens.,1
Blacksmith at working outdoors.,Iron smiths are working outside.,0
A man walks down a busy city street with men dressed in Santa Claus costumes.,A woman walks to work on a boring street.,2
"A smiling young man walking on next to the beach wearing a baseball cap, blue t-shirt and jeans.",A young man is enjoying his vacation.,1
A young boy plays around in a jacuzzi.,A young boy is playing outside at the log cabin.,1
Two dogs in the water.,Two dogs are currently in the water.,0
two people using a circular saw to cut a piece of lumbar.,A group of people on a fishing boat.,2
Four children are playing a card game.,Kids compete in world champion poker.,2
A van with advertisements for beach amusement items parked on the sand.,A van covered in ads for frisbees and beach balls stands unlocked on the beach,1
A black and white dog jumps a red and white hurdle on a lawn with other dogs and people.,A dog is napping in the grass.,2
A person with a gray hood up sleds down a snowy hill.,A kid is playing in the sand on the beach.,2
Two men are singing in front of a small group of men wearing caps.,The men were playing baseball.,2
A girl with a number seven jersey throws a softball to her teammate.,The girl's jersey had an odd number on it.,0
A group of cyclists racing down a street with an onlooking crowd,People are watching a swimming competition.,2
Two little boys in tuxedos.,Two boys are dressed up.,0
People are gathered around tables in a restaurant.,People are playing in the snow.,2
A woman wearing a yellow taxi costume poses on a street.,The woman wears a silly costume in a parade.,1
A man wearing a blue sweater and collared undershirt is playing the board game Risk,The man is playing Risk with his friends.,1
Two people walk at night past a building that glows with purple light.,Two people are on the run catching the sunlight.,2
"3 man are playing music together consisting of guitar, violin and banjo.",Three men are playing musical instruments.,0
A pastry chef sprinkles ingredients on a pan of backed goods.,The chef is making chocolate chip cookies.,1
"Lady in red wearing boots walks right and a man in a blue suit walks left in front of an ""I heart"" NY mural.", Lady in red wearing boots.,0
"A man wearing jeans and a hooded, long-sleeved top, and a backpack, walks in a desert.",A man is walking at a beach,2
A middle-aged bearded man is pressing on a mechanical device.,A man is sleeping.,2
A woman and a young girl sit close and pose for a photo.,Two people are friendly.,1
Child sliding in the snow.,A child is playing in the snow.,0
A tribal man with his indian headdress.,There is a man wearing a headdress.,0
A woman in a white shirt standing in front of a brick wall.,The person is near a wall.,0
Choir in a church is singing to the crowd.,The pastor speaks to the crowd.,2
People are riding the Cyclone thrill ride at the Coney Island amusement park.,A family rides the Cyclone together at Coney Island,1
A young woman dressed in white with he hair tied up paints a room red.,A woman is painting the outside of her house blue.,2
The young boy is pushing the cart inside the store.,a man is riding a shopping cart down a hill,2
Two men are stepping on rocks to cross some water.,3 kids are swimming in the water.,2
A brown dog is running in the snow with a smaller black dog running behind it.,Two dogs are playing together in the snow.,1
The dog leaps to catch the Frisbee in its mouth.,The dog is outside.,1
two young children riding in a toy car at a real gas station,There are kids holding up traffic.,1
Woman with three children fishing over boardwalk in the evening.,Woman with children fishing over boardwalk in the evening.,0
People lined up along a fence.,The people are watching as firefighters try to put out a fire in their neighbor's house.,1
The little boy is wading through the pool with red arm floaties.,a boy is in the pool with floaties on,0
A man in a blue shirt walking on scaffolding.,The man is a worker.,1
There are three dogs wearing numbered jerseys running a race.,There are dogs in a dograce.,1
A man with black and white gloves holds a cross with a crucified Jesus on it in a street.,A man stands in the street.,0
Man on the beach is throwing a red ball.,A man pitches a baseball towards a batter on a baseball diamond.,2
Two rockers are singing and playing on a dark stage.,two people singing on stage,1
two women eating in front of Debenhams.,They are outside,1
A young girl is laying in the grass posing for the camera,A young girl is taking photos of the grass.,2
A man is sitting on a park bench with his feet on a skateboard.,The man is sitting,0
Several man are digging a hole in the street.,The men are shoveling dirt into a hole,2
A man in a green shirt is checking a thin pole stuck on the edge of a waterway.,the man has a green shirt,0
A man on an urban rooftop with a kite flying in the background.,A man is on a roof in a city.,0
An old man standing in front of rolling security doors filled with graffiti.,a child spray paints a wall,2
Two dogs play with a red plastic toy in the tall grass.,There are four legged animals outside.,0
"There is one man in the foreground with a hammer, another is in the background, possibly doing the same work as the man in the foreground.",a man with a hammer stand near another,0
People are going in and out of what looks to be a theater.,People are in a theater.,0
Winner accepting his award gracefully.,The winner accepted his award.,0
A man dressed in jeans and a red shirt is playing an instrument.,A man performing a song her just wrote,1
A woman wearing a scarf and reading a thin book reclines on a wooden structure.,A lady is reading a cookbook while standing up in a kitchen.,2
Asian women dressed in white and pink participate in some kind of festival.,Asian women are dancing and swaying to music,1
A small girl wearing a yellow dress rocking in a tiny white chair.,A little girl flies a kite.,2
A man in a red shirt and backwards hat looks off in the distance.,A guy is looking at his hand.,2
Four people standing near signs reading them.,Four men are sitting with their eyes closed.,2
A child sleds.,a kid is sledding for the first time ever,1
A young girl sitting at a table with a bowl on her head,A toddler dumped her bowl of spaghetti on her head,1
Five construction workers are working on a project.,Five workers eat a taco on their break.,2
A woman in a blue and black striped shirt shows her phone to a man wearing glasses and a blue and yellow plaid shirt in the middle of a street.,A woman in black and blue shares information to a male.,0
An adult baseball player sliding onto the base while his opponent attempts to tag him.,The baseball player is an adult.,0
A man in a tan hat and blue shirt walks a bike loaded with produce.,He went to the farmer's market.,1
An elderly woman placing a candle.,A woman is lighting a candle.,1
A young man with black shorts and a red shirt serving a volleyball.,The man in the red shirt is the captain of the volleyball team.,1
Many people are crowding around a lady in a red shirt who is laying down hurt next to two bikes.,The woman is hurt.,0
Two people signing books.,Some people are sitting on a ski lift.,2
